,state_string,a_value_0,a_value_1,a_value_2,a_value_3,a_value_4,a_value_5,a_value_6,a_value_7,a_value_8
0,000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,200000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,010000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,210000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,120000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,220000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,101000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,201000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,011000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,111000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,211000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,021000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,121000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,221000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,002000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,102000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,202000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,012000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,112000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,212000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,022000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,122000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,222000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,100100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,200100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
