,model_action,best_action_t_plus_1,mean_price
279,H,B,0.9329999999999999
280,H,S,0.932
281,H,B,0.9329999999999999
282,H,B,0.9329999999999999
283,H,S,0.9309999999999999
284,H,S,0.9279999999999999
285,H,S,0.925
286,H,B,0.925
287,H,B,0.925
288,H,B,0.925
289,H,S,0.924
290,H,B,0.924
291,H,S,0.92
292,H,S,0.9159999999999999
293,H,B,0.917
294,H,B,0.9179999999999999
295,H,S,0.917
296,H,B,0.9179999999999999
297,H,B,0.9209999999999999
298,H,B,0.9209999999999999
299,H,S,0.92
300,H,B,0.922
301,H,B,0.922
302,H,S,0.9209999999999999
303,H,B,0.924
304,H,B,0.924
305,H,S,0.9229999999999999
306,H,B,0.9229999999999999
307,H,B,0.924
308,H,S,0.9179999999999999
309,H,B,0.9179999999999999
310,H,B,0.922
311,H,B,0.924
312,H,B,0.924
313,H,B,0.925
314,H,B,0.925
315,H,B,0.9259999999999999
316,H,B,0.9259999999999999
317,H,S,0.924
318,H,S,0.9229999999999999
319,H,B,0.9229999999999999
320,H,B,0.924
321,H,S,0.9229999999999999
322,H,B,0.9229999999999999
323,H,S,0.922
324,H,B,0.922
325,H,B,0.9229999999999999
326,H,B,0.9229999999999999
327,H,B,0.9229999999999999
328,H,S,0.9209999999999999
329,H,B,0.9209999999999999
330,H,B,0.9209999999999999
331,H,S,0.92
332,H,B,0.9209999999999999
333,H,B,0.922
334,H,B,0.9229999999999999
335,H,B,0.924
336,H,B,0.925
337,H,B,0.925
338,H,S,0.924
339,H,S,0.92
340,H,S,0.919
341,H,B,0.92
342,H,S,0.9179999999999999
343,H,B,0.919
344,H,B,0.92
345,H,S,0.9179999999999999
346,H,B,0.919
347,H,B,0.919
348,H,B,0.919
349,H,B,0.919
350,H,S,0.9159999999999999
351,H,B,0.917
352,H,B,0.92
353,H,B,0.924
354,H,B,0.93
355,H,B,0.932
356,H,B,0.9329999999999999
357,H,S,0.932
358,H,B,0.932
359,H,B,0.935
360,H,B,0.9359999999999999
361,H,S,0.935
362,H,B,0.9359999999999999
363,H,S,0.934
364,H,B,0.934
365,H,B,0.934
366,H,B,0.934
367,H,B,0.934
368,H,B,0.935
369,H,B,0.935
370,H,S,0.932
371,H,S,0.93
372,H,B,0.93
373,H,B,0.93
374,H,B,0.9309999999999999
375,H,B,0.932
376,H,S,0.9309999999999999
377,H,B,0.9329999999999999
378,H,B,0.935
379,H,S,0.934
380,H,S,0.9329999999999999
381,H,B,0.9329999999999999
382,H,S,0.9309999999999999
383,H,B,0.9329999999999999
384,H,B,0.9329999999999999
385,H,S,0.932
386,H,B,0.932
387,H,B,0.934
388,H,B,0.934
389,H,B,0.934
390,H,B,0.935
391,H,S,0.9329999999999999
392,H,S,0.9309999999999999
393,H,S,0.929
394,H,B,0.93
395,H,B,0.932
396,H,B,0.932
397,H,B,0.9329999999999999
398,H,S,0.932
399,H,S,0.9309999999999999
400,H,B,0.9309999999999999
401,H,B,0.9309999999999999
402,H,B,0.9309999999999999
403,H,B,0.932
404,H,B,0.932
405,H,S,0.9309999999999999
406,H,S,0.93
407,H,B,0.9309999999999999
408,H,B,0.9309999999999999
409,H,S,0.9279999999999999
410,H,S,0.9259999999999999
411,H,S,0.92
412,H,B,0.922
413,H,B,0.9229999999999999
414,H,B,0.9229999999999999
415,H,B,0.9229999999999999
416,H,B,0.927
417,H,B,0.9329999999999999
418,H,B,0.934
419,H,B,0.945
420,H,B,0.945
421,H,S,0.9440000000000001
422,H,B,0.945
423,H,S,0.9440000000000001
424,H,S,0.943
425,H,S,0.9420000000000001
426,H,S,0.941
427,H,B,0.9420000000000001
428,H,B,0.9420000000000001
429,H,S,0.941
430,H,S,0.9390000000000001
431,H,B,0.9390000000000001
432,H,B,0.94
433,H,B,0.941
434,H,S,0.9390000000000001
435,H,B,0.941
436,H,S,0.9359999999999999
437,H,B,0.9359999999999999
438,H,S,0.935
439,H,S,0.9329999999999999
440,H,B,0.934
441,H,B,0.935
442,H,B,0.937
443,H,S,0.935
444,H,S,0.934
445,H,B,0.934
446,H,B,0.934
447,H,B,0.935
448,H,S,0.934
449,H,B,0.9359999999999999
450,H,B,0.9359999999999999
451,H,S,0.934
452,H,B,0.935
453,H,S,0.9329999999999999
454,H,S,0.932
455,H,B,0.9329999999999999
456,H,B,0.935
457,H,S,0.934
458,H,B,0.935
459,H,B,0.935
460,H,B,0.935
461,H,B,0.937
462,H,B,0.938
463,H,S,0.9359999999999999
464,H,B,0.937
465,H,B,0.938
466,H,B,0.94
467,H,S,0.937
468,H,S,0.9359999999999999
469,H,B,0.9359999999999999
470,H,S,0.935
471,H,B,0.9359999999999999
472,H,S,0.934
473,H,S,0.9329999999999999
474,H,B,0.9329999999999999
475,H,S,0.9309999999999999
476,H,S,0.9279999999999999
477,H,S,0.9259999999999999
478,H,B,0.9259999999999999
479,H,B,0.927
480,H,B,0.93
481,H,B,0.932
482,H,S,0.9309999999999999
483,H,B,0.9329999999999999
484,H,S,0.9309999999999999
485,H,B,0.932
486,H,S,0.93
487,H,B,0.93
488,H,S,0.929
489,H,S,0.9279999999999999
490,H,B,0.929
491,H,B,0.932
492,H,S,0.9309999999999999
493,H,B,0.932
494,H,S,0.93
495,H,S,0.929
496,H,B,0.93
497,H,S,0.929
498,H,S,0.925
499,H,S,0.924
500,H,B,0.9259999999999999
501,H,B,0.93
502,H,S,0.929
503,H,S,0.925
504,H,S,0.924
505,H,S,0.922
506,H,B,0.922
507,H,B,0.924
508,H,B,0.925
509,H,B,0.927
510,H,B,0.927
511,H,B,0.9279999999999999
512,H,S,0.9259999999999999
513,H,B,0.9279999999999999
514,H,B,0.93
515,H,B,0.932
516,H,S,0.9309999999999999
517,H,B,0.932
518,H,S,0.9309999999999999
519,H,S,0.93
520,H,B,0.932
521,H,B,0.9329999999999999
522,H,B,0.934
523,H,B,0.934
524,H,S,0.9329999999999999
525,H,S,0.932
526,H,S,0.9309999999999999
527,H,B,0.932
528,H,S,0.9309999999999999
529,H,B,0.9309999999999999
530,H,S,0.93
531,H,B,0.9309999999999999
532,H,B,0.9309999999999999
533,H,B,0.932
534,H,B,0.9329999999999999
535,H,B,0.9329999999999999
536,H,B,0.9329999999999999
537,H,B,0.9329999999999999
538,H,S,0.932
539,H,S,0.9309999999999999
540,H,B,0.9309999999999999
541,H,B,0.9329999999999999
542,H,B,0.9329999999999999
543,H,B,0.9329999999999999
544,H,B,0.9329999999999999
545,H,B,0.9329999999999999
546,H,B,0.934
547,H,S,0.9329999999999999
548,H,S,0.932
