,model_action,best_action_t_plus_1,mean_price,original_price
1358,H,H,0.902,8299.581
1359,H,H,0.899,8270.029
1360,H,B,0.899,8267.87
1361,H,H,0.895,8238.681
1362,H,H,0.894,8226.833
1363,H,B,0.894,8225.024
1364,H,B,0.894,8224.282
1365,H,B,0.894,8226.628
1366,H,H,0.893,8215.306999999999
1367,H,H,0.8909999999999999,8198.455
1368,H,H,0.887,8157.385
1369,H,H,0.885,8141.236999999999
1370,H,B,0.887,8157.2390000000005
1371,H,B,0.888,8172.196
1372,H,B,0.888,8167.923000000001
1373,H,H,0.8859999999999999,8147.771
1374,H,H,0.884,8134.366
1375,H,H,0.88,8092.679
1376,H,H,0.875,8052.701999999999
1377,H,B,0.877,8069.5740000000005
1378,H,H,0.8690000000000001,7991.628000000001
1379,H,B,0.87,8004.044
1380,H,B,0.8759999999999999,8060.121
1381,H,H,0.875,8049.6990000000005
1382,H,B,0.88,8092.391
1383,H,B,0.882,8116.814
1384,H,B,0.882,8114.968000000001
1385,H,B,0.883,8127.266
1386,H,B,0.885,8138.889
1387,H,H,0.883,8123.613
1388,H,B,0.884,8130.019
1389,H,B,0.884,8136.746
1390,H,B,0.885,8141.882
1391,H,H,0.882,8117.585999999999
1392,H,B,0.882,8115.045999999999
1393,H,H,0.8809999999999999,8102.829000000001
1394,H,H,0.879,8090.856
1395,H,B,0.882,8111.525
1396,H,B,0.883,8119.621
1397,H,H,0.882,8110.382
1398,H,B,0.882,8109.946
1399,H,H,0.8809999999999999,8108.804
1400,H,H,0.88,8094.848000000001
1401,H,B,0.88,8092.431
1402,H,H,0.879,8086.374
1403,H,B,0.879,8085.23
1404,H,B,0.883,8126.182
1405,H,B,0.889,8174.734
1406,H,H,0.888,8173.791
1407,H,B,0.888,8164.946999999999
1408,H,B,0.888,8174.088000000001
1409,H,B,0.895,8229.973
1410,H,B,0.8959999999999999,8245.88
1411,H,B,0.898,8256.214
1412,H,B,0.905,8321.192
1413,H,H,0.902,8303.591
1414,H,B,0.903,8302.469000000001
1415,H,B,0.903,8311.201
1416,H,H,0.902,8296.332
1417,H,B,0.902,8295.279
1418,H,H,0.9009999999999999,8289.189
1419,H,B,0.905,8323.079
1420,H,B,0.905,8322.365
1421,H,B,0.905,8323.799
1422,H,B,0.907,8343.776
1423,H,B,0.907,8342.421999999999
1424,H,H,0.9059999999999999,8331.612
1425,H,B,0.9059999999999999,8334.041
1426,H,B,0.9059999999999999,8335.417
1427,H,B,0.9059999999999999,8332.792
1428,H,B,0.9059999999999999,8335.964
1429,H,B,0.9109999999999999,8378.653
1430,H,B,0.9109999999999999,8383.385
1431,H,H,0.91,8368.874
1432,H,H,0.909,8360.518
1433,H,H,0.907,8347.976
1434,H,H,0.9059999999999999,8335.524
1435,H,H,0.904,8321.046999999999
1436,H,B,0.905,8328.492
1437,H,B,0.907,8342.196
1438,H,B,0.907,8345.263
1439,H,H,0.905,8327.615
1440,H,B,0.905,8325.018
1441,H,H,0.903,8311.954
1442,H,H,0.902,8296.841
1443,H,B,0.902,8298.747
1444,H,B,0.904,8315.639000000001
1445,H,H,0.902,8298.284
1446,H,B,0.903,8306.768
1447,H,H,0.902,8296.985
1448,H,H,0.9009999999999999,8293.296
1449,H,B,0.903,8309.501
1450,H,B,0.907,8340.95
1451,H,B,0.915,8422.528
1452,H,B,0.9159999999999999,8423.257
1453,H,B,0.917,8436.915
1454,H,H,0.9159999999999999,8428.394
